City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tarakan,3.3,117.6333,30.72,79,40,2.57,ID,1700375448
1,fort bragg,35.139,-79.006,12.68,57,0,3.6,US,1700375553
2,ancud,-41.8697,-73.8203,9.84,88,100,2.79,CL,1700375553
3,adamstown,-25.066,-130.1015,21.82,86,100,9.88,PN,1700375553
4,hovd,48.0056,91.6419,2.55,68,90,1.25,MN,1700375554
5,puerto ayora,-0.7393,-90.3518,20.86,96,51,2.78,EC,1700375554
6,okhotsk,59.3833,143.3,-12.06,77,18,7.65,RU,1700375554
7,invercargill,-46.4,168.35,13.34,68,48,2.68,NZ,1700375400
8,brisas de zicatela,15.8369,-97.0419,25.67,89,13,1.53,MX,1700375555
9,tiksi,71.6872,128.8694,-30.31,100,75,2.4,RU,1700375555
10,road town,18.4167,-64.6167,28.05,78,100,7.31,VG,1700375555
11,san cristobal,7.7669,-72.225,19.76,88,45,0.9,VE,1700375556
12,blackmans bay,-43.0167,147.3167,17.07,78,98,0.45,AU,1700375556
13,anadyr,64.75,177.4833,-14.72,85,40,4.0,RU,1700375439
14,waitangi,-43.9535,-176.5597,11.01,96,100,3.13,NZ,1700375557
15,colonia menno,-22.3667,-59.8167,26.06,65,96,4.87,PY,1700375557
16,lagdo,9.05,13.7333,27.14,21,100,1.39,CM,1700375558
17,pacific grove,36.6177,-121.9166,15.37,89,70,3.58,US,1700375558
18,port-aux-francais,-49.35,70.2167,4.94,94,100,10.71,TF,1700375558
19,bethel,41.3712,-73.414,3.05,75,0,0.0,US,1700375558
20,kone,-21.0595,164.8658,25.44,70,39,2.48,NC,1700375559
21,michurinsk,52.8978,40.4907,-3.89,70,45,3.57,RU,1700375559
22,harper,4.375,-7.7169,25.86,86,38,1.68,LR,1700375559
23,praia,14.9215,-23.5087,24.3,60,0,4.12,CV,1700375227
24,weno,7.4515,151.8468,29.97,84,75,0.0,FM,1700375560
25,tura,25.5198,90.2201,25.81,64,81,1.34,IN,1700375409
26,papatowai,-46.5619,169.4708,11.09,72,51,2.71,NZ,1700375561
27,port lincoln,-34.7333,135.8667,17.21,67,87,7.56,AU,1700375496
28,luderitz,-26.6481,15.1594,22.62,47,100,0.81,NA,1700375438
29,puerto natales,-51.7236,-72.4875,-1.15,92,18,1.07,CL,1700375562
30,turkmenbasy,40.0222,52.9552,16.43,41,0,5.14,TM,1700375562
31,saipan,15.1355,145.701,29.39,84,100,6.69,MP,1700375562
32,celestun,20.8667,-90.4,24.24,83,35,1.24,MX,1700375563
33,edinburgh of the seven seas,-37.0676,-12.3116,12.85,78,17,15.05,SH,1700375564
34,olonkinbyen,70.9221,-8.7187,0.43,90,99,1.78,SJ,1700375564
35,esquel,-42.9,-71.3167,5.2,95,100,3.0,AR,1700375564
36,viljandi,58.3639,25.59,-4.46,94,28,2.0,EE,1700375565
37,bredasdorp,-34.5322,20.0403,21.29,58,100,1.55,ZA,1700375565
